Id,Label,timeset,modularity_class,indegree,outdegree,Degree,componentnumber,strongcompnum,weighted indegree,weighted outdegree,Weighted Degree
BC3Research,BC3Research,,0,0,0,0,0,0,0,0,0
milagrosrubiop,milagrosrubiop,,0,0,0,0,0,0,0,0,0
SmartOfficePM,SmartOfficePM,,0,0,0,0,0,0,0,0,0
fllordachs,fllordachs,,4,0,1,1,0,685,0,1,1
jaimebretonbesn,jaimebretonbesn,,0,0,0,0,0,0,0,0,0
xXhazeXx_,xXhazeXx_,,0,0,0,0,0,0,0,0,0
librerodajedrez,librerodajedrez,,0,0,0,0,0,0,0,0,0
elmundoes,elmundoes,,11,16,0,16,0,482,16,0,16
SocialSoraya,SocialSoraya,,0,0,0,0,0,0,0,0,0
OpenFuture_Biz,OpenFuture_Biz,,0,0,0,0,0,0,0,0,0
EstiradoLeonor,EstiradoLeonor,,0,0,0,0,0,0,0,0,0
Jul_rospiq,Jul_rospiq,,0,0,0,0,0,0,0,0,0
MuseoThyssen,MuseoThyssen,,0,0,0,0,0,0,0,0,0
GEO3BCN_CSIC,GEO3BCN_CSIC,,10,2,1,3,0,686,2,1,3
Inma19796677,Inma19796677,,0,0,0,0,0,0,0,0,0
RafaelZabaleta,RafaelZabaleta,,13,0,3,3,0,688,0,3,3
anaprietonieto,anaprietonieto,,13,0,2,2,0,690,0,2,2
valentingarciag,valentingarciag,,0,0,0,0,0,0,0,0,0
pacopolo,pacopolo,,0,0,0,0,0,0,0,0,0
pabloqmartin97,pabloqmartin97,,0,0,0,0,0,0,0,0,0
ZinetMedia,ZinetMedia,,0,0,0,0,0,0,0,0,0
puentedey20,puentedey20,,0,0,0,0,0,0,0,0,0
tecnoholic,tecnoholic,,0,0,0,0,0,0,0,0,0
sbonet,sbonet,,0,0,0,0,0,0,0,0,0
MaiteLo30434151,MaiteLo30434151,,0,0,0,0,0,0,0,0,0
lucducatibcn,lucducatibcn,,11,0,3,3,0,694,0,3,3
evabaltartorres,evabaltartorres,,6,0,2,2,0,695,0,2,2
abaddonxrdv,abaddonxrdv,,0,0,0,0,0,0,0,0,0
HaciendAND,HaciendAND,,16,1,4,5,0,391,1,4,5
tatito,tatito,,0,0,0,0,0,0,0,0,0
CulturaEnVena_,CulturaEnVena_,,0,0,0,0,0,0,0,0,0
WINEBLACK2,WINEBLACK2,,0,0,0,0,0,0,0,0,0
ASOTEM_,ASOTEM_,,13,1,6,7,0,697,1,6,7
PlataformaBipr1,PlataformaBipr1,,0,0,0,0,0,0,0,0,0
ricart_lluis,ricart_lluis,,0,0,0,0,0,0,0,0,0
AletiFonso,AletiFonso,,0,0,0,0,0,0,0,0,0
aiguespaterna,aiguespaterna,,10,2,0,2,0,103,2,0,2
ccooAytoMostols,ccooAytoMostols,,0,0,0,0,0,0,0,0,0
Lopunible,Lopunible,,0,0,0,0,0,0,0,0,0
jlcendrero,jlcendrero,,0,0,0,0,0,0,0,0,0
ZamaCarthago,ZamaCarthago,,11,1,2,3,0,699,1,2,3
Jonzu7,Jonzu7,,0,0,0,0,0,0,0,0,0
AVAngelX,AVAngelX,,0,0,0,0,0,0,0,0,0
EndeavorSpain,EndeavorSpain,,0,0,0,0,0,0,0,0,0
somosvivelibre,somosvivelibre,,15,1,0,1,0,700,1,0,1
cbamadrid,cbamadrid,,9,5,3,8,0,13,5,3,8
Electromain1,Electromain1,,0,0,0,0,0,0,0,0,0
LorenaSchfe,LorenaSchfe,,9,3,0,3,0,701,3,0,3
tuitAST,tuitAST,,16,0,2,2,0,702,0,2,2
MARedondoR,MARedondoR,,4,9,2,11,0,94,9,2,11
jluis8,jluis8,,0,0,0,0,0,0,0,0,0
JCGarcia_CDTI,JCGarcia_CDTI,,16,4,0,4,0,676,4,0,4
DEEPSUA,DEEPSUA,,0,0,0,0,0,0,0,0,0
auxifcd,auxifcd,,0,0,0,0,0,0,0,0,0
alvarez_paco,alvarez_paco,,0,0,0,0,0,0,0,0,0
vanesssalelu,vanesssalelu,,0,0,0,0,0,0,0,0,0
RSUAREZ4,RSUAREZ4,,0,0,0,0,0,0,0,0,0
seomental,seomental,,9,0,2,2,0,704,0,2,2
EduTorresRomero,EduTorresRomero,,4,0,2,2,0,707,0,2,2
alvarocarrillo,alvarocarrillo,,0,4,1,5,0,336,4,1,5
GemaPiEse,GemaPiEse,,6,0,1,1,0,709,0,1,1
educaINTEF,educaINTEF,,16,13,0,13,0,494,13,0,13
fernandosinrumb,fernandosinrumb,,0,0,0,0,0,0,0,0,0
Rakel287,Rakel287,,0,0,0,0,0,0,0,0,0
INCIBE,INCIBE,,5,4,0,4,0,710,4,0,4
mabara80,mabara80,,0,0,0,0,0,0,0,0,0
CommsCustomer,CommsCustomer,,0,0,0,0,0,0,0,0,0
clubdeviernes,clubdeviernes,,11,1,0,1,0,711,1,0,1
confianzaonline,confianzaonline,,0,0,0,0,0,0,0,0,0
susachjuan,susachjuan,,0,0,0,0,0,0,0,0,0
JuanSnchezGarc7,JuanSnchezGarc7,,0,0,0,0,0,0,0,0,0
LunaLinda52,LunaLinda52,,0,0,0,0,0,0,0,0,0
SanromanAlb,SanromanAlb,,0,0,0,0,0,0,0,0,0
Cs_vlcnoroeste,Cs_vlcnoroeste,,0,0,0,0,0,0,0,0,0
aeqtonline,aeqtonline,,9,0,2,2,0,714,0,2,2
asturias_spain,asturias_spain,,0,0,0,0,0,0,0,0,0
Capgemini_ES,Capgemini_ES,,14,2,3,5,0,716,2,3,5
ikerccooeus,ikerccooeus,,0,0,0,0,0,0,0,0,0
Pilucaestaaqui,Pilucaestaaqui,,0,0,0,0,0,0,0,0,0
ANGED_es,ANGED_es,,0,0,0,0,0,0,0,0,0
rcondemelguizo,rcondemelguizo,,15,1,0,1,0,717,1,0,1
jordiroca,jordiroca,,0,0,0,0,0,0,0,0,0
jc_madero,jc_madero,,0,0,0,0,0,0,0,0,0
ClubInnovAgri,ClubInnovAgri,,2,1,0,1,0,80,1,0,1
agrodrone,agrodrone,,2,1,0,1,0,636,1,0,1
EsAirbus,EsAirbus,,11,0,1,1,0,719,0,1,1
cielikolindo,cielikolindo,,0,0,0,0,0,0,0,0,0
ForoNuclear,ForoNuclear,,2,1,1,2,0,633,1,1,2
Julia_company,Julia_company,,0,0,0,0,0,0,0,0,0
Paroma96Pablo_,Paroma96Pablo_,,0,0,0,0,0,0,0,0,0
Rafamoyanoz,Rafamoyanoz,,0,0,0,0,0,0,0,0,0
GeoHistoUsal,GeoHistoUsal,,0,0,0,0,0,0,0,0,0
Montijano,Montijano,,0,0,0,0,0,0,0,0,0
sistemasoee,sistemasoee,,0,0,0,0,0,0,0,0,0
Grupo2000CF,Grupo2000CF,,0,0,0,0,0,0,0,0,0
dagonetwork,dagonetwork,,0,0,0,0,0,0,0,0,0
isa_iglesias_al,isa_iglesias_al,,0,0,0,0,0,0,0,0,0
Teconte_Ed,Teconte_Ed,,13,2,0,2,0,595,2,0,2
grouchomarx1890,grouchomarx1890,,0,0,0,0,0,0,0,0,0
MercelaMercedes,MercelaMercedes,,0,0,0,0,0,0,0,0,0
JuancarMisis,JuancarMisis,,0,0,0,0,0,0,0,0,0
DiegoFrancesch,DiegoFrancesch,,0,0,0,0,0,0,0,0,0
BibCampusSoria,BibCampusSoria,,0,0,0,0,0,0,0,0,0
alivecomunica,alivecomunica,,0,0,0,0,0,0,0,0,0
rdalmaullorca,rdalmaullorca,,0,0,0,0,0,0,0,0,0
isalda,isalda,,0,0,0,0,0,0,0,0,0
beina_as,beina_as,,0,0,0,0,0,0,0,0,0
luzseijo,luzseijo,,13,6,0,6,0,369,6,0,6
MCBosch01,MCBosch01,,0,0,0,0,0,0,0,0,0
EstrategiaPI,EstrategiaPI,,3,3,0,3,0,33,3,0,3
bimbalalombarda,bimbalalombarda,,6,0,2,2,0,721,0,2,2
LauraUrbieta,LauraUrbieta,,0,0,0,0,0,0,0,0,0
newsjuridicas,newsjuridicas,,9,0,2,2,0,725,0,2,2
Zorin76,Zorin76,,0,0,0,0,0,0,0,0,0
Gema_Ramon,Gema_Ramon,,0,0,0,0,0,0,0,0,0
CSICmasI,CSICmasI,,0,0,0,0,0,0,0,0,0
BIOTECYL,BIOTECYL,,16,0,6,6,0,730,0,6,6
jorgecarloslebr,jorgecarloslebr,,0,0,0,0,0,0,0,0,0
aiccex,aiccex,,15,0,3,3,0,731,0,3,3
NereaContreras,NereaContreras,,0,0,0,0,0,0,0,0,0
FinaSans,FinaSans,,0,0,0,0,0,0,0,0,0
eldefesu,eldefesu,,6,0,2,2,0,732,0,2,2
Cm7Daniel,Cm7Daniel,,0,0,0,0,0,0,0,0,0
josegutrol,josegutrol,,0,0,0,0,0,0,0,0,0
MamenEC,MamenEC,,0,0,0,0,0,0,0,0,0
Cadiz_Espadas,Cadiz_Espadas,,0,0,0,0,0,0,0,0,0
MSolSotoRomero,MSolSotoRomero,,0,0,0,0,0,0,0,0,0
ZuluMariG,ZuluMariG,,0,0,0,0,0,0,0,0,0
fernandomacia,fernandomacia,,0,0,0,0,0,0,0,0,0
pcabreralopez,pcabreralopez,,0,0,0,0,0,0,0,0,0
ingennus,ingennus,,16,0,1,1,0,734,0,1,1
fantotal40,fantotal40,,0,0,0,0,0,0,0,0,0
belenelisadiaz,belenelisadiaz,,0,0,0,0,0,0,0,0,0
nubecita_more,nubecita_more,,0,0,0,0,0,0,0,0,0
Matbside,Matbside,,0,0,0,0,0,0,0,0,0
IbabeSara,IbabeSara,,1,5,2,7,0,520,5,2,7
CanabateM,CanabateM,,0,0,0,0,0,0,0,0,0
softwarecuiner,softwarecuiner,,0,0,0,0,0,0,0,0,0
castao_c,castao_c,,13,0,2,2,0,735,0,2,2
rutaquesoext,rutaquesoext,,0,0,0,0,0,0,0,0,0
RectoraUA,RectoraUA,,14,2,0,2,0,736,2,0,2
LMagide,LMagide,,5,0,2,2,0,739,0,2,2
PediatriaBalear,PediatriaBalear,,0,0,0,0,0,0,0,0,0
JxchPoetics17,JxchPoetics17,,0,0,0,0,0,0,0,0,0
_Alicantec,_Alicantec,,0,0,0,0,0,0,0,0,0
NavisionAss,NavisionAss,,2,0,2,2,0,741,0,2,2
EduardoPeMo,EduardoPeMo,,0,0,0,0,0,0,0,0,0
FJavierCalleja,FJavierCalleja,,0,0,0,0,0,0,0,0,0
TheJam30429949,TheJam30429949,,0,0,0,0,0,0,0,0,0
incatema,incatema,,0,0,0,0,0,0,0,0,0
CENIM_CSIC,CENIM_CSIC,,0,0,0,0,0,0,0,0,0
EMPODERA_org,EMPODERA_org,,0,0,0,0,0,0,0,0,0
castellano1968,castellano1968,,0,0,0,0,0,0,0,0,0
AnnaForastier,AnnaForastier,,3,0,3,3,0,742,0,3,3
sergiolujanmora,sergiolujanmora,,14,1,2,3,0,743,1,2,3
cloud_educacion,cloud_educacion,,0,0,0,0,0,0,0,0,0
hepidauro,hepidauro,,0,0,0,0,0,0,0,0,0
jeslopcru,jeslopcru,,12,0,2,2,0,749,0,2,2
Bankinter,Bankinter,,0,0,0,0,0,0,0,0,0
mikel_uriguen,mikel_uriguen,,9,0,5,5,0,754,0,5,5
cineytele,cineytele,,4,1,0,1,0,755,1,0,1
rafael_pedraza,rafael_pedraza,,0,0,0,0,0,0,0,0,0
lavidadepiter,lavidadepiter,,0,0,0,0,0,0,0,0,0
SubdeGobJaen,SubdeGobJaen,,0,0,3,3,0,757,0,3,3
MAECgob,MAECgob,,0,0,0,0,0,0,0,0,0
CarmenDide,CarmenDide,,11,0,1,1,0,759,0,1,1
delaossapicasso,delaossapicasso,,0,0,0,0,0,0,0,0,0
RedElectricaREE,RedElectricaREE,,10,8,0,8,0,130,8,0,8
TeteBelda,TeteBelda,,0,0,0,0,0,0,0,0,0
PlazaCastellon,PlazaCastellon,,16,3,0,3,0,760,3,0,3
alvaro_diaz_,alvaro_diaz_,,0,0,0,0,0,0,0,0,0
MatildeCuadro,MatildeCuadro,,9,0,1,1,0,762,0,1,1
ElReferente,ElReferente,,10,4,0,4,0,126,4,0,4
DocFarma_,DocFarma_,,0,0,0,0,0,0,0,0,0
Esri_Spain,Esri_Spain,,13,0,1,1,0,763,0,1,1
ainiatecnologia,ainiatecnologia,,16,0,2,2,0,765,0,2,2
aldozu,aldozu,,0,0,0,0,0,0,0,0,0
CiudadanaInma,CiudadanaInma,,3,1,0,1,0,766,1,0,1
Antonio08396305,Antonio08396305,,0,0,0,0,0,0,0,0,0
marceli64749688,marceli64749688,,0,0,0,0,0,0,0,0,0
Jo_hupa,Jo_hupa,,0,0,0,0,0,0,0,0,0
_AriGc7,_AriGc7,,0,0,0,0,0,0,0,0,0
XM_Torres,XM_Torres,,0,0,0,0,0,0,0,0,0
carbonero_jesus,carbonero_jesus,,0,0,0,0,0,0,0,0,0
clusterticgal,clusterticgal,,2,1,2,3,0,768,1,2,3
mariadelamiel,mariadelamiel,,0,0,0,0,0,0,0,0,0
GLADIATOR_LIBRE,GLADIATOR_LIBRE,,0,0,0,0,0,0,0,0,0
jaimercdd,jaimercdd,,0,0,0,0,0,0,0,0,0
kojonciana,kojonciana,,0,0,0,0,0,0,0,0,0
daniiglesias_cs,daniiglesias_cs,,4,0,2,2,0,769,0,2,2
enlos_SILENCIOS,enlos_SILENCIOS,,6,0,4,4,0,773,0,4,4
Miguel_MoPe,Miguel_MoPe,,0,0,0,0,0,0,0,0,0
ondacerogijon,ondacerogijon,,11,2,0,2,0,758,2,0,2
_netiqueta_,_netiqueta_,,0,0,0,0,0,0,0,0,0
sergallop,sergallop,,9,0,3,3,0,785,0,3,3
MATIASCONTENTO,MATIASCONTENTO,,0,0,0,0,0,0,0,0,0
AyuntamientoVLL,AyuntamientoVLL,,1,10,0,10,0,464,10,0,10
buenoesaprender,buenoesaprender,,0,0,0,0,0,0,0,0,0
Lucia_E,Lucia_E,,0,0,0,0,0,0,0,0,0
